OBS		ID		Kmag	FSUA			SkyCal BG	FF1		FF2		LabCal
P90LOPEZ	Gl86		-99	PACMAN_GEN_RECORD_311_0046.fits	311_0004	311_0007	311_0008	317
P90LOPEZ	Gl86		-99	PACMAN_GEN_RECORD_311_0047.fits	311_0004	311_0007	311_0008	317


P90RATZKA2	epsEri		1.776	FSUA_OBS_350_0001.fits	350_0003	350_0005	350_0006	349
P90RATZKA2	HD18322		1.471	FSUA_OBS_350_0003.fits	350_0004	350_0007	350_0008	349
P90RATZKA2	DGTau		6.992	FSUA_OBS_350_0004.fits	350_0005  	350_0010	350_0011	349
P90RATZKA2	RYTau		5.395	FSUA_OBS_350_0006.fits	350_0007  	350_0013	350_0014	349
P90RATZKA2	HD31421		-99	FSUA_OBS_350_0007.fits	350_0008  	350_0015	350_0016	349
P90RATZKA2	CQTau		6.173	FSUA_OBS_350_0008.fits	350_0009  	350_0017	350_0018	349
P90RATZKA2	HD31421		-99	FSUA_OBS_350_0010.fits	350_0010  	350_0019	350_0020	349

##P90RATZKA	HD218594	0.986	FSUA_OBS_332_0001.fits	332_0001	332_0001	332_0002	332
P90RATZKA	HD218594	0.986	FSUA_OBS_332_0002.fits	332_0002	332_0003	332_0004	332
P90RATZKA	alfPsA		0.94	FSUA_OBS_332_0003.fits	332_0003	332_0005	332_0006	332
##P90RATZKA	HD25604		-99	FSUA_OBS_332_0004.fits	332_0004	332_0007	332_0008	332
P90RATZKA	RYTau		5.395	FSUA_OBS_332_0005.fits	332_0005	332_0009	332_0010	332
P90RATZKA	betaPic		3.216	FSUA_OBS_332_0006.fits	332_0006	332_0011	332_0012	332
P90RATZKA	HD33042		1.520	FSUA_OBS_332_0007.fits	332_0007	332_0013	332_0014	332
P90RATZKA	HD218594	0.986	FSUA_OBS_333_0001.fits	333_0001	333_0001	333_0002	332
P90RATZKA	alfPsA		0.94	FSUA_OBS_333_0002.fits	333_0002	333_0003	333_0004	332
P90RATZKA	HD33042		1.520	FSUA_OBS_333_0003.fits	333_0003	333_0005	333_0006	332
P90RATZKA	HD33042		1.520	FSUA_OBS_333_0004.fits	333_0003	333_0005	333_0006	332
P90RATZKA	HD33042		1.520	FSUA_OBS_333_0005.fits	333_0003	333_0005	333_0006	332
P90RATZKA	betaPic		3.216	FSUA_OBS_332_0006.fits	333_0004	333_0007	333_0008	332
P90RATZKA	HD31421		5.155	FSUA_OBS_332_0008.fits	333_0005	333_0009	333_0010	332
P90RATZKA	HD18322		1.471	FSUA_OBS_333_0009.fits	333_0006	333_0011	333_0012	332
P90RATZKA	epsEri		1.776	FSUA_OBS_333_0010.fits	333_0007	333_0013	333_0014	332
P90RATZKA	HD31421		-99	FSUA_OBS_333_0011.fits	333_0010	333_0019	333_0020	332
P90RATZKA	FUOri		5.155	FSUA_OBS_333_0012.fits	333_0011	333_0021	333_0022	332


P90POTT	HD10380		1.357	PACMAN_GEN_RECORD_310_0006.fits		310_0001	310_0001	310_0002	317
P90POTT	HD10380		1.357	PACMAN_GEN_RECORD_310_0007.fits		310_0001	310_0001	310_0002	317
P90POTT	TYC52582	0.0	PACMAN_GEN_RECORD_310_0012.fits		310_0005	310_0009	310_0010	317
P90POTT	RXJ0405		0.0	PACMAN_GEN_RECORD_310_0015.fits		310_0007	310_0013	310_0014	317


18	HD23249		1.62	PACMAN_GEN_RECORD_012_0011.fits		012_0004	012_0007	012_0008	012
18	HD81797		-1.13	PACMAN_GEN_RECORD_012_0013.fits		012_0006	012_0013	012_0014	012
18	HD26967		1.23	PACMAN_GEN_RECORD_013_0002.fits		013_0001	013_0001	013_0002	012
18	HD32820		5.06	PACMAN_GEN_RECORD_013_0004.fits		013_0002	013_0003	013_0004	012
18	HD40270		5.26	PACMAN_GEN_RECORD_013_0006.fits		013_0003	013_0005	013_0006	012
18	CD-482256	7.10	PACMAN_GEN_RECORD_013_0008.fits		013_0004	013_0007	013_0008	012


P88	HD1014		0.608	PACMAN_GEN_RECORD_332_0002.fits		332_0002	332_0003	332_0004	331
P88	24Psc		3.684	PACMAN_GEN_RECORD_332_0003.fits		332_0003	332_0005	332_0006	331
P88	HD16212		1.188	PACMAN_GEN_RECORD_332_0006.fits		332_0007	332_0013	332_0014	331
P88	NGC1068		5.788	PACMAN_GEN_RECORD_332_0007.fits		332_0008	332_0015	332_0016	331
P88	HD16212		1.188	PACMAN_GEN_RECORD_332_0008.fits		332_0009	332_0017	332_0018	331
P88	HD1014		0.608	PACMAN_GEN_RECORD_332_0009.fits		332_0010	332_0019	332_0020	331
P88	24Psc		3.684	PACMAN_GEN_RECORD_332_0010.fits		332_0011	332_0021	332_0022	331
P88	HD28305		1.31	PACMAN_GEN_RECORD_332_0012.fits		332_0012	332_0023	332_0024	331
P88	HD16212		1.188	PACMAN_GEN_RECORD_332_0013.fits		332_0013	332_0025	332_0026	331
P88	HD36167		0.81	PACMAN_GEN_RECORD_332_0014.fits		332_0016	332_0031	332_0032	331
P88	WDSJ05320-0018A	3.02	PACMAN_GEN_RECORD_332_0015.fits		332_0017	332_0033	332_0034	331
P88	HD36167		0.81	PACMAN_GEN_RECORD_332_0016.fits		332_0018	332_0035	332_0036	331
P88	WDSJ05320-0018A	3.02	PACMAN_GEN_RECORD_332_0017.fits		332_0019	332_0037	332_0038	331
P88	HD50778		0.642	PACMAN_GEN_RECORD_332_0018.fits		332_0020	332_0039	332_0040	331
